trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
嶺,6124,17,A01139,5DBA,岭,8,"mountain range",5429,['diff']
仲,6118,6,A00097,4EF2,仲,6,"second in seniority",10316,[]
韻,6118,19,A04534,97FB,韵,13,"rhyme",3705,['diff']
旭,6115,6,A01776,65ED,旭,6,"rising sun",2341,[]
兔,6103,8,A00276,5154,兔,8,"rabbit",4418,[]
姿,6072,9,A00916,59FF,姿,9,"posture",8092,[]
邁,6069,17,A04192,9081,迈,6,"stride",10432,['diff']
傢,6058,12,A00217,50A2,家,10,"fellow",509790,"['diff', 'many-to-one']"
譽,6039,21,A03895,8B7D,誉,13,"reputation",10683,['diff']
褲,6035,15,A03748,8932,裤,12,"trousers",6282,['diff']
孝,6022,7,A00989,5B5D,孝,7,"filial piety",6112,[]
促,6018,9,A00156,4FC3,促,9,"facilitate",25792,[]
駛,5987,15,A04629,99DB,驶,8,"speedy",13537,['diff']
仇,5949,4,A00073,4EC7,仇,4,"hatred, vengeance",13118,[]
粗,5947,11,A03059,7C97,粗,11,"rough, thick, rude",15557,[]
牧,5908,8,A02492,7267,牧,8,"to herd",12193,[]
舟,5897,6,A03410,821F,舟,6,"boat",5363,[]
糕,5894,16,A03069,7CD5,糕,16,"sticky cake",4142,[]
殼,5885,12,A02092,6BBC,壳,7,"shell",7813,['diff']
蝶,5868,15,A03658,8776,蝶,15,"butterfly",4811,[]
兇,5850,6,A00269,5147,凶,4,"fear",16707,"['diff', 'many-to-one']"
鍋,5848,17,A04324,934B,锅,12,"wok",6416,['diff']
懼,5840,21,A01462,61FC,惧,11,"fear",11644,['diff']
銳,5831,15,A04303,92B3,锐,12,"sharp",8522,['diff']
吟,5802,7,A00540,541F,吟,7,"hum, recite",6916,[]
虧,5791,17,A03613,8667,亏,3,"fail",9884,['diff']
枝,5783,8,A01880,679D,枝,8,"branch",13982,[]
耍,5783,9,A03257,800D,耍,9,"play around",5109,[]
闊,5772,17,A04390,95CA,阔,12,"wide",10722,['diff']
疼,5767,10,A02672,75BC,疼,10,"pain",10279,[]
拾,5764,9,A01566,62FE,拾,9,"pick up",7497,[]
毅,5763,15,A02095,6BC5,毅,15,"perseverance",7686,[]
刷,5762,8,A00346,5237,刷,8,"brush",8773,[]
塗,5760,13,A00796,5857,涂,10,"mud",9949,['diff']
夾,5754,7,A00857,593E,夹,6,"squeeze, clip",9574,['diff']
裂,5753,12,A03724,88C2,裂,12,"split",18093,[]
鄰,5737,15,A04220,9130,邻,7,"neighbor",10996,['diff']
悅,5736,10,A01359,6085,悦,10,"glad",7094,['diff']
轟,5732,21,A04099,8F5F,轰,8,"loud noise",19670,['diff']
爵,5723,17,A02470,7235,爵,17,"nobility",7902,[]
駐,5707,15,A04627,99D0,驻,8,"stop",18901,['diff']
賭,5699,15,A03966,8CED,赌,12,"gamble",6759,['diff']
蜂,5697,13,A03646,8702,蜂,13,"bee, wasp",7989,[]
扇,5687,10,A01492,6247,扇,10,"fan",7125,['many-to-one']
羞,5666,11,A03220,7F9E,羞,10,"shy",6651,[]
瓦,5660,5,A02614,74E6,瓦,4,"tile",22229,[]
疏,5660,11,A02658,758F,疏,12,"uncrowded",8101,[]
斗,5641,4,A01746,6597,斗,4,"liquid measure",69456,['many-to-one']
堪,5637,12,A00787,582A,堪,12,"to bear",9026,[]
逆,5627,10,A04128,9006,逆,9,"reverse",7339,[]
抬,5618,8,A01551,62AC,抬,8,"raise",16315,[]
餅,5596,14,A04594,9905,饼,9,"biscuit",4439,['diff']
貫,5585,11,A03934,8CAB,贯,8,"string together",14361,['diff']
綱,5576,14,A03138,7DB1,纲,7,"outline",7832,['diff']
惹,5571,13,A01405,60F9,惹,12,"annoy",5018,[]
狠,5549,9,A02517,72E0,狠,9,"ruthless",11116,[]
頑,5538,13,A04543,9811,顽,10,"tenacious",6868,['diff']
擦,5532,17,A01694,64E6,擦,17,"wipe",9542,[]
贈,5528,19,A03976,8D08,赠,16,"give",6004,['diff']
凝,5527,16,A00318,51DD,凝,16,"condense",11409,[]
滋,5526,12,A02274,6ECB,滋,12,"grow",7874,[]
喂,5512,12,A00627,5582,喂,12,"feed",7184,['many-to-one']
允,5483,4,A00265,5141,允,4,"allow, consent",15027,[]
挺,5478,10,A01580,633A,挺,9,"prop up",14615,[]
愚,5458,13,A01399,611A,愚,13,"ignorant",8144,[]
征,5442,8,A01279,5F81,征,8,"expedition",49855,['many-to-one']
辱,5389,10,A04110,8FB1,辱,10,"insult",8029,[]
朗,5388,10,A01847,6717,朗,10,"bright",19288,[]
余,5368,7,A00128,4F59,余,7,"I (archaic)",50601,['many-to-one']
慰,5354,15,A01431,6170,慰,15,"console",11379,[]
蛙,5333,12,A03634,86D9,蛙,12,"frog",2149,[]
災,5317,7,A02387,707D,灾,7,"disaster",17531,['diff']
偵,5311,11,A00212,5075,侦,8,"spy on",14329,['diff']
讚,5297,25,A03901,8B9A,赞,16,"praise",22909,"['diff', 'many-to-one']"
