trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
殖,3570,12,A02084,6B96,殖,12,"colonise",15118,[]
撤,3569,14,A01652,64A4,撤,15,"retreat",19485,[]
姻,3544,9,A00925,59FB,姻,9,"marriage",6998,[]
躺,3535,15,A04059,8EBA,躺,15,"lie down",11745,[]
昂,3527,8,A01783,6602,昂,8,"hold high",7637,[]
潑,3526,15,A02328,6F51,泼,8,"splash",4688,['diff']
腔,3523,12,A03337,8154,腔,12,"body cavity",7975,[]
瞬,3517,17,A02804,77AC,瞬,17,"wink",6119,[]
寺,3515,6,A01058,5BFA,寺,6,"temple",8200,[]
銅,3512,14,A04291,9285,铜,11,"copper, brass",9416,['diff']
肢,3500,8,A03300,80A2,肢,8,"limb",4651,[]
糾,3496,8,A03081,7CFE,纠,5,"tangle",10064,['diff']
叢,3495,18,A00479,53E2,丛,5,"bushes",10665,['diff']
宰,3479,10,A01024,5BB0,宰,10,"butcher",6390,[]
湊,3466,12,A02254,6E4A,凑,11,"assemble",5544,['diff']
董,3443,13,A03531,8463,董,12,"direct",11450,[]
宅,3439,6,A01008,5B85,宅,6,"residence",8464,[]
刮,3429,8,A00349,522E,刮,8,"shave",4565,['many-to-one']
胃,3424,9,A03311,80C3,胃,9,"stomach",7533,[]
芝,3421,8,A03433,829D,芝,6,"lingzhi",5832,[]
淋,3413,11,A02226,6DCB,淋,11,"soak",5737,[]
斃,3410,17,A01742,6583,毙,10,"die",3588,['diff']
驕,3404,22,A04649,9A55,骄,9,"arrogant",5196,['diff']
奸,3401,6,A00881,5978,奸,6,"sinister, traitor",7132,['many-to-one']
墓,3392,14,A00807,5893,墓,13,"tomb",8890,[]
償,3388,17,A00258,511F,偿,11,"repay",17919,['diff']
炒,3364,8,A02391,7092,炒,8,"stirfry",3260,[]
潤,3359,15,A02339,6F64,润,10,"moist",16922,['diff']
蕩,3359,16,A03565,8569,荡,9,"swing",15268,"['diff', 'many-to-one']"
妄,3352,6,A00880,5984,妄,6,"absurdly, randomly",6228,[]
餓,3346,15,A04598,9913,饿,10,"hungry",7992,['diff']
扎,3344,4,A01497,624E,扎,4,"pierce",15600,['many-to-one']
尿,3328,7,A01081,5C3F,尿,7,"urine",8292,[]
盲,3315,8,A02758,76F2,盲,8,"blind",6395,[]
偽,3301,11,A00201,507D,伪,6,"false, illegitimate",12654,['diff']
踐,3301,15,A04021,8E10,践,12,"trample",12242,['diff']
貧,3291,11,A03937,8CA7,贫,8,"impoverished",17263,['diff']
矩,3275,10,A02819,77E9,矩,9,"regulation",5766,[]
駁,3269,14,A04625,99C1,驳,7,"rebut",6879,['diff']
兆,3268,6,A00270,5146,兆,6,"omen, trillion",5204,[]
棍,3258,12,A01967,68CD,棍,12,"stick (tool)",5140,[]
馳,3248,13,A04622,99B3,驰,6,"run fast (horses, vehicles)",6199,['diff']
扶,3238,7,A01508,6276,扶,7,"hold onto",11659,[]
斬,3220,11,A01755,65AC,斩,8,"chop",3844,['diff']
穴,3218,5,A02953,7A74,穴,5,"hole",7772,[]
槽,3216,15,A02011,69FD,槽,15,"trough",1908,[]
澡,3203,16,A02344,6FA1,澡,16,"bathe",2882,[]
辣,3190,14,A04104,8FA3,辣,14,"spicy",4124,[]
匹,3185,4,A00425,5339,匹,4,"measure word for horses",8025,[]
蚊,3177,10,A03617,868A,蚊,10,"mosquito",2065,[]
柱,3156,9,A01892,67F1,柱,9,"pillar",10504,[]
籠,3152,22,A03050,7C60,笼,11,"cage",7888,['diff']
抖,3140,7,A01506,6296,抖,7,"shake",9584,[]
訝,3138,11,A03795,8A1D,讶,6,"astonished",5760,['diff']
顛,3126,19,A04566,985B,颠,16,"upside down",5921,['diff']
撲,3120,15,A01662,64B2,扑,5,"hit, rush at",13748,"['diff', 'many-to-one']"
淘,3120,11,A02241,6DD8,淘,11,"cleanse, eliminate",3718,[]
丘,3116,5,A00015,4E18,丘,5,"mound",7886,[]
亭,3112,9,A00066,4EAD,亭,9,"pavilion",7041,[]
吞,3112,7,A00516,541E,吞,7,"swallow",9142,[]
癢,3105,20,A02711,7662,痒,11,"itch",3055,['diff']
肆,3104,13,A03284,8086,肆,13,"anyhow",3956,[]
漆,3103,14,A02311,6F06,漆,14,"paint",4884,[]
帖,3096,8,A01167,5E16,帖,8,"obedient",2191,[]
咳,3080,9,A00570,54B3,咳,9,"cough",4390,[]
矮,3071,13,A02821,77EE,矮,13,"short",6834,[]
賄,3044,13,A03953,8CC4,贿,10,"bribe",3346,['diff']
斤,3032,4,A01751,65A4,斤,4,"ax, shrewd",8365,[]
饒,3025,20,A04611,9952,饶,9,"spare (e.g. a life)",5079,['diff']
闖,3014,18,A04396,95D6,闯,6,"rush forcefully",5954,['diff']
戈,3008,4,A01466,6208,戈,4,"dagger",10456,[]
諷,2997,16,A03869,8AF7,讽,6,"satire",4713,['diff']
診,2992,12,A03813,8A3A,诊,7,"diagnose",15931,['diff']
霜,2991,17,A04487,971C,霜,17,"frost",3119,[]
掙,2985,11,A01605,6399,挣,9,"struggle",8297,['diff']
屑,2966,10,A01090,5C51,屑,10,"scraps",3655,[]
鋪,2958,15,A04300,92EA,铺,12,"to lay",11654,['diff']
遣,2957,14,A04175,9063,遣,13,"send",9335,[]
蹈,2957,17,A04035,8E48,蹈,17,"dance",3004,[]
懸,2957,20,A01460,61F8,悬,11,"hang",8282,['diff']
岡,2949,8,A01107,5CA1,冈,4,"ridge",6651,['diff']
蝴,2943,15,A03657,8774,蝴,15,"butterfly",1991,[]
汁,2941,5,A02126,6C41,汁,5,"juice",3564,[]
攏,2935,19,A01704,650F,拢,8,"draw together",4390,['diff']
壺,2933,12,A00835,58FA,壶,10,"kettle",3652,['diff']
帆,2933,6,A01163,5E06,帆,6,"sail",3874,[]
雁,2926,12,A04451,96C1,雁,12,"wild goose",3474,[]
辰,2923,7,A04109,8FB0,辰,7,"star",4755,[]
穗,2922,17,A02948,7A57,穗,17,"tassel",1178,[]
慨,2921,12,A01393,6168,慨,12,"emotional",5479,[]
膜,2902,15,A03361,819C,膜,14,"membrane",7694,[]
肅,2896,12,A03286,8085,肃,8,"solemn",13581,['diff']
濾,2884,18,A02365,6FFE,滤,13,"filter",1394,['diff']
范,2880,9,A03444,8303,范,8,"Fan (a surname)",53033,['many-to-one']
醬,2872,18,A04249,91AC,酱,13,"sauce",1668,['diff']
纖,2872,23,A03193,7E96,纤,6,"delicate",6166,"['diff', 'many-to-one']"
艇,2818,13,A03420,8247,艇,12,"vessel",16868,[]
枯,2803,9,A01897,67AF,枯,9,"wilt",5582,[]
并,2789,6,A01193,5E76,并,6,"Shanxi province",281616,['many-to-one']
漁,2789,14,A02322,6F01,渔,11,"fisherman",9441,['diff']
淹,2777,11,A02231,6DF9,淹,11,"drown",3315,[]
岩,2776,8,A01109,5CA9,岩,8,"rock",15279,['many-to-one']
墊,2775,14,A00808,588A,垫,9,"cushion",3233,['diff']
鞭,2774,18,A04521,97AD,鞭,18,"whip",5176,[]
縫,2766,17,A03171,7E2B,缝,13,"sew",8512,['diff']
歹,2758,4,A02076,6B79,歹,4,"evil",2148,[]
斑,2757,12,A01744,6591,斑,12,"mottled",6622,[]
竿,2741,9,A02986,7AFF,竿,9,"bamboo pole",2083,[]
駝,2716,15,A04626,99DD,驼,8,"camel",3084,['diff']
冤,2711,10,A00305,51A4,冤,10,"injustice",4243,[]
棵,2709,12,A01959,68F5,棵,12,"counter for trees",6159,[]
疊,2708,22,A02656,758A,叠,13,"fold",5027,['diff']
僕,2708,14,A00241,50D5,仆,4,"servant",8976,"['diff', 'many-to-one']"
箏,2700,14,A03016,7B8F,筝,12,"kite",1100,['diff']
墜,2681,15,A00815,589C,坠,7,"fall",4980,['diff']
遮,2678,15,A04179,906E,遮,14,"conceal",5914,[]
螺,2675,17,A03678,87BA,螺,17,"whorl",4327,[]
煎,2671,13,A02419,714E,煎,13,"fry",2183,[]
癮,2668,22,A02714,766E,瘾,16,"addiction",1379,['diff']
蠟,2664,21,A03693,881F,蜡,14,"wax",3246,['diff']
瞎,2660,15,A02793,778E,瞎,15,"blind",4260,[]
坎,2649,7,A00752,574E,坎,7,"small pit",3948,[]
犬,2637,4,A02507,72AC,犬,4,"dog",3042,[]
錶,2630,16,A04307,9336,表,8,"watch (time-keeping)",226768,"['diff', 'many-to-one']"
籲,2630,33,A03055,7C72,吁,6,"implore",5891,['diff']
弓,2630,3,A01245,5F13,弓,3,"bow",5315,[]
娛,2626,10,A00930,5A1B,娱,10,"entertain",3740,['diff']
甩,2623,5,A02628,7529,甩,5,"fling",3208,[]
颱,2621,14,A04574,98B1,台,5,"typhoon",109362,"['diff', 'many-to-one']"
沾,2605,8,A02164,6CBE,沾,8,"abundant, soak",4201,['many-to-one']
撫,2602,15,A01673,64AB,抚,7,"touch softly",10100,['diff']
傘,2590,12,A00224,5098,伞,6,"umbrella",5511,['diff']
嬌,2589,15,A00974,5B0C,娇,9,"squeamish",5772,['diff']
錫,2586,16,A04313,932B,锡,13,"tin",6586,['diff']
淪,2550,11,A02242,6DEA,沦,7,"perish",2738,['diff']
剝,2546,10,A00363,525D,剥,10,"peel",7504,['diff']
揭,2533,12,A01627,63ED,揭,12,"uncover",10892,[]
趟,2521,15,A03998,8D9F,趟,15,"counter for trips",3879,[]
盆,2519,9,A02739,76C6,盆,9,"basin",6780,[]
湧,2515,12,A02253,6E67,涌,10,"surge",11228,['diff']
坊,2511,7,A00747,574A,坊,7,"street, shop",3546,[]
赴,2487,9,A03990,8D74,赴,9,"go toward",8594,[]
磚,2486,16,A02864,78DA,砖,9,"brick",4512,['diff']
狹,2476,10,A02520,72F9,狭,9,"narrow",6901,['diff']
栗,2476,10,A01920,6817,栗,10,"chestnut",3240,['many-to-one']
菊,2465,12,A03513,83CA,菊,11,"chrysanthemum",3676,[]
瘦,2457,15,A02701,7626,瘦,14,"thin",8632,[]
奴,2456,5,A00878,5974,奴,5,"slave",15917,[]
氧,2453,10,A02116,6C27,氧,10,"oxygen",8401,[]
驢,2440,25,A04654,9A62,驴,7,"donkey",3532,['diff']
畏,2427,9,A02639,754F,畏,9,"fear",6722,[]
債,2424,13,A00226,50B5,债,10,"debt",20902,['diff']
摧,2419,14,A01657,6467,摧,14,"destroy",5743,[]
鹽,2415,24,A04751,9E7D,盐,10,"salt",8266,['diff']
挽,2405,10,A01582,633D,挽,10,"pull",5389,['many-to-one']
墾,2399,16,A00818,58BE,垦,9,"cultivate",1819,['diff']
霞,2399,17,A04488,971E,霞,17,"dawn / dusk glow",6885,[]
伐,2395,6,A00094,4F10,伐,6,"chop (trees)",9028,[]
脾,2362,12,A03343,813E,脾,12,"spleen",5386,[]
噪,2361,16,A00695,566A,噪,16,"chirp; noise",2501,[]
穫,2355,19,A02951,7A6B,获,10,"harvest",55064,"['diff', 'many-to-one']"
暈,2347,13,A01815,6688,晕,10,"dizzy",5420,['diff']
裙,2344,12,A03728,88D9,裙,12,"skirt",4062,[]
頸,2342,16,A04552,9838,颈,11,"neck, throat",6104,['diff']
竊,2340,23,A02976,7ACA,窃,9,"steal",6174,['diff']
濁,2327,16,A02347,6FC1,浊,9,"muddy",1924,['diff']
峽,2325,10,A01115,5CFD,峡,9,"gorge",10028,['diff']
倘,2324,10,A00192,5018,倘,10,"if",6072,[]
囊,2318,22,A00720,56CA,囊,22,"bag",6709,[]
霉,2316,15,A04480,9709,霉,15,"mold",4098,['many-to-one']
薇,2312,17,A03578,8587,薇,16,"rose; a type of fern",1504,[]
訣,2307,11,A03796,8A23,诀,6,"secret formula",2341,['diff']
剃,2307,9,A00353,5243,剃,9,"shave",1337,[]
臟,2307,22,A03381,81DF,脏,10,"organ",11350,"['diff', 'many-to-one']"
枕,2303,8,A01874,6795,枕,8,"pillow",3206,[]
慌,2301,13,A01409,614C,慌,12,"panic",11149,[]
熄,2282,14,A02435,7184,熄,14,"put out (fire)",2284,[]
蓄,2276,14,A03536,84C4,蓄,13,"store",7213,[]
削,2273,9,A00354,524A,削,9,"peel",9169,[]
券,2271,8,A00345,5238,券,8,"coupon",14293,[]
臘,2263,19,A03379,81D8,腊,12,"twelfth month of the Chinese calender",13892,['diff']
伺,2257,7,A00116,4F3A,伺,7,"wait on",2570,[]
蕾,2256,17,A03572,857E,蕾,16,"bud",1268,[]
矢,2250,5,A02816,77E2,矢,5,"arrow",2466,[]
挨,2248,10,A01585,6328,挨,10,"to bear",6930,['many-to-one']
漿,2245,15,A02325,6F3F,浆,10,"liquid",3130,['diff']
廚,2232,15,A01227,5EDA,厨,12,"kitchen",5932,['diff']
睜,2223,13,A02786,775C,睁,11,"open eyes",7454,['diff']
薛,2218,17,A03577,859B,薛,16,"a surname",7630,[]
蓬,2217,15,A03558,84EC,蓬,13,"unkempt",4225,[]
垮,2215,9,A00770,57AE,垮,9,"collapse",2958,[]
鑼,2209,27,A04367,947C,锣,13,"cymbals",1552,['diff']
釘,2195,10,A04262,91D8,钉,7,"nail, peg",5059,['diff']
堵,2194,11,A00783,5835,堵,11,"stop",4960,[]
耕,2168,10,A03260,8015,耕,10,"cultivate",8525,[]
濱,2166,17,A02353,6FF1,滨,13,"river banks",3811,['diff']
葬,2162,13,A03526,846C,葬,12,"to inter",6558,[]
艱,2159,17,A03426,8271,艰,8,"difficult",11164,['diff']
緯,2157,15,A03149,7DEF,纬,7,"latitude",2874,['diff']
姦,2155,9,A00923,59E6,奸,6,"rape, adultery",7132,"['diff', 'many-to-one']"
鴉,2132,15,A04722,9D09,鸦,9,"crow",4236,['diff']
蒸,2124,14,A03542,84B8,蒸,13,"steam",4443,[]
葡,2121,13,A03530,8461,葡,12,"grape",5943,[]
甫,2115,7,A02630,752B,甫,7,"only, at first; courteous title (used in former times)",5805,[]
霍,2102,16,A04484,970D,霍,16,"suddenly",15034,[]
妓,2099,7,A00896,5993,妓,7,"prostitute",2582,[]
棉,2096,12,A01971,68C9,棉,12,"cotton",7416,[]
爹,2093,10,A02473,7239,爹,10,"dad",7016,[]
撈,2092,15,A01663,6488,捞,10,"dredge",3681,['diff']
綁,2091,13,A03127,7D81,绑,9,"to tie",4112,['diff']
燭,2074,17,A02457,71ED,烛,10,"candle",3578,['diff']
懲,2072,19,A01456,61F2,惩,12,"punish",8839,['diff']
宴,2071,10,A01027,5BB4,宴,10,"banquet",5798,[]
撇,2069,14,A01649,6487,撇,14,"cast away",2219,[]
汰,2062,7,A02147,6C70,汰,7,"wash out",1968,[]
歇,2061,13,A02059,6B47,歇,13,"rest",8733,[]
癌,2059,17,A02707,764C,癌,17,"cancer",9114,[]
樸,2041,16,A02019,6A38,朴,6,"simple, plain",6261,['diff']
頌,2040,13,A04547,980C,颂,10,"ode",4142,['diff']
魄,2040,15,A04687,9B44,魄,14,"soul",3664,[]
寇,2036,11,A01032,5BC7,寇,11,"bandit, enemy",3354,[]
萄,2033,12,A03516,8404,萄,11,"grape",5463,[]
遼,2032,16,A04187,907C,辽,5,"distant, expansive",6300,['diff']
妝,2032,7,A00887,599D,妆,6,"adornment",3083,['diff']
薯,2027,17,A03576,85AF,薯,16,"yam, potato",1204,[]
蘿,2023,23,A03603,863F,萝,11,"turnip",2694,['diff']
菌,2020,12,A03510,83CC,菌,11,"mushroom, microbe",9971,[]
嚮,2006,18,A00709,56AE,向,6,"toward, guide",276986,"['diff', 'many-to-one']"
酬,1991,13,A04234,916C,酬,13,"reward",7011,[]
馮,1990,12,A04620,99AE,冯,5,"a surname",10128,['diff']
橘,1983,16,A02023,6A58,橘,16,"orange (fruit)",900,[]
侮,1980,9,A00162,4FAE,侮,9,"humiliate",3144,[]
灘,1978,22,A02380,7058,滩,13,"beach",6550,['diff']
屢,1976,14,A01095,5C62,屡,12,"often",3925,['diff']
髓,1963,23,A04665,9AD3,髓,21,"marrow",2474,[]
碑,1957,13,A02849,7891,碑,13,"monument",5509,[]
梨,1940,11,A01950,68A8,梨,11,"pear",1884,[]
礦,1939,20,A02873,7926,矿,8,"mineral",16360,['diff']
脹,1936,12,A03341,8139,胀,8,"expand",6327,['diff']
煉,1928,13,A02423,7149,炼,9,"smelt",9528,"['diff', 'many-to-one']"
擅,1919,16,A01676,64C5,擅,16,"act without consultation, be expert at",4372,[]
蠶,1909,24,A03695,8836,蚕,10,"silkworm",2549,['diff']
攀,1908,19,A01703,6500,攀,19,"climb",3998,[]
肌,1908,6,A03290,808C,肌,6,"flesh, muscle",7830,[]
卵,1907,7,A00453,5375,卵,7,"egg",6971,[]
盞,1887,13,A02748,76DE,盏,10,"cup",2486,['diff']
鄙,1885,14,A04219,9119,鄙,13,"look down on",3670,[]
株,1864,10,A01929,682A,株,10,"stump",3771,[]
抒,1861,7,A01516,6292,抒,7,"express, pour out",1724,[]
爪,1861,4,A02466,722A,爪,4,"claw, talon",4419,[]
侍,1858,8,A00132,4F8D,侍,8,"servant",8320,[]
祇,1847,8,A02884,7947,只,5,"only",370059,"['diff', 'many-to-one']"
逗,1843,11,A04139,9017,逗,10,"halt",3271,[]
喉,1841,12,A00644,5589,喉,12,"throat",6233,[]
栽,1837,10,A01923,683D,栽,10,"to plant",4215,[]
疫,1834,9,A02663,75AB,疫,9,"disease",9202,[]
飼,1829,13,A04589,98FC,饲,8,"to rear",7399,['diff']
劈,1826,15,A00375,5288,劈,15,"split apart",3759,[]
鉛,1826,13,A04283,925B,铅,10,"lead",3075,['diff']
艘,1820,16,A03421,8258,艘,15,"counter for ships",14438,[]
嶼,1815,17,A01138,5DBC,屿,6,"small island",3098,['diff']
郊,1811,9,A04208,90CA,郊,8,"suburb",4565,[]
頃,1803,11,A04538,9803,顷,8,"moment",2753,['diff']
凶,1803,4,A00323,51F6,凶,4,"culprit, murder",16707,['many-to-one']
狸,1802,10,A02522,72F8,狸,10,"leopard cat",2715,['many-to-one']
柄,1797,9,A01901,67C4,柄,9,"handle",5229,[]
挪,1796,10,A01583,632A,挪,9,"shift",5500,[]
沛,1788,7,A02143,6C9B,沛,7,"plentiful",1834,[]
彙,1783,13,A01265,5F59,汇,5,"confluence",22608,"['diff', 'many-to-one']"
僚,1776,14,A00240,50DA,僚,14,"colleague",5278,[]
姜,1767,9,A00914,59DC,姜,9,"a surname",4261,['many-to-one']
窄,1765,10,A02959,7A84,窄,10,"narrow",5219,[]
杖,1762,7,A01869,6756,杖,7,"cane, staff",4037,[]
燙,1755,16,A02448,71D9,烫,10,"scald",2149,['diff']
廊,1755,12,A01219,5ECA,廊,11,"porch",6413,[]
吶,1747,7,A00534,5436,呐,7,"shout, cry",2163,['diff']
迄,1733,7,A04115,8FC4,迄,6,"up to now",3496,[]
夷,1728,6,A00855,5937,夷,6,"barbarian",4638,[]
妒,1712,7,A00888,5992,妒,7,"be jealous",3228,[]
蠅,1706,19,A03685,8805,蝇,14,"fly (insect)",2761,['diff']
攪,1698,23,A01713,652A,搅,12,"stir",2922,['diff']
竭,1694,14,A02981,7AED,竭,14,"exert",7194,[]
吼,1694,7,A00536,543C,吼,7,"roar",5814,[]
倡,1683,10,A00189,5021,倡,10,"promote",5622,[]
掏,1682,11,A01609,638F,掏,11,"take out",5416,[]
浸,1677,10,A02204,6D78,浸,10,"soak",4529,[]
繭,1676,19,A03182,7E6D,茧,9,"cocoon",904,['diff']
芙,1672,8,A03434,8299,芙,7,"lotus",3130,[]
押,1668,8,A01539,62BC,押,8,"signature",9401,[]
鴿,1663,17,A04730,9D3F,鸽,11,"pigeon, dove",2886,['diff']
凸,1661,5,A00326,51F8,凸,5,"convex",2287,[]
匠,1657,6,A00420,5320,匠,6,"craftsman",6142,[]
悼,1654,11,A01374,60BC,悼,11,"grieve",1997,[]
蛛,1654,12,A03637,86DB,蛛,12,"spider",3033,[]
繩,1650,19,A03184,7E69,绳,11,"rope",7256,['diff']
掠,1648,11,A01586,63A0,掠,11,"plunder",8343,[]
瞞,1641,16,A02798,779E,瞒,15,"to cover up (e.g. truth)",4191,['diff']
芋,1635,7,A03430,828B,芋,6,"taro",440,[]
蔥,1631,15,A03559,8525,葱,12,"scallion",2147,['diff']
墳,1629,15,A00814,58B3,坟,7,"grave",4402,['diff']
剋,1618,9,A00357,524B,克,7,"exploit, limit",166044,"['diff', 'many-to-one']"
滔,1608,13,A02295,6ED4,滔,13,"gushing",2642,[]
蕉,1600,16,A03567,8549,蕉,15,"banana",1663,[]
裹,1594,14,A03738,88F9,裹,14,"wrap",4322,[]
朦,1589,18,A01851,6726,朦,17,"hazy, misty",2394,[]
芽,1586,8,A03436,82BD,芽,7,"plant shoot",2717,[]
御,1585,11,A01295,5FA1,御,12,"control",16586,['many-to-one']
顫,1582,22,A04568,986B,颤,19,"shake",8080,['diff']
燥,1579,17,A02456,71E5,燥,17,"hot",3171,[]
啞,1575,11,A00604,555E,哑,9,"mute",4406,['diff']
惰,1570,12,A01390,60F0,惰,12,"lazy",1302,[]
糧,1567,18,A03077,7CE7,粮,13,"grains",18528,['diff']
貸,1563,12,A03949,8CB8,贷,9,"loan",11793,['diff']
旬,1559,6,A01775,65EC,旬,6,"ten days, ten years",4671,[]
齣,1557,20,A04798,9F63,出,5,"piece of drama",755256,"['diff', 'many-to-one']"
鱉,1556,22,A04707,9C49,鳖,19,"turtle",598,['diff']
簿,1553,19,A03042,7C3F,簿,19,"ledger",2333,[]
喘,1549,12,A00626,5598,喘,12,"to pant",7320,[]
腥,1548,13,A03348,8165,腥,13,"odour of raw meat",2677,[]
僵,1546,15,A00248,50F5,僵,15,"rigid",4668,[]
紮,1535,11,A03105,7D2E,扎,4,"tie, bind",15600,"['diff', 'many-to-one']"
斧,1531,8,A01753,65A7,斧,8,"ax",2598,[]
襟,1531,18,A03756,895F,襟,18,"lapel; in one's heart, aspiration",2346,[]
腫,1527,13,A03351,816B,肿,8,"swell (on the body)",9202,['diff']
肖,1527,7,A03291,8096,肖,7,"resemble",6899,[]
檬,1524,18,A02039,6AAC,檬,17,"lemon",613,[]
蹲,1522,19,A04042,8E72,蹲,19,"squat",3720,[]
瀑,1514,18,A02368,7011,瀑,18,"waterfall",1497,[]
罕,1513,7,A03202,7F55,罕,7,"rare",5409,[]
碌,1509,13,A02846,788C,碌,13,"busy",3497,[]
稻,1506,15,A02943,7A3B,稻,15,"paddy",3607,[]
撼,1502,16,A01680,64BC,撼,16,"shake",1922,[]
掘,1492,11,A01594,6398,掘,11,"dig",5436,[]
哨,1492,10,A00582,54E8,哨,10,"sentry",4354,[]
汙,1485,6,A02132,6C59,污,6,"dirty, sewage",15696,['diff']
慚,1484,14,A01422,615A,惭,11,"shame",2062,['diff']
膨,1481,16,A03367,81A8,膨,16,"swell",4141,[]
詐,1479,12,A03810,8A50,诈,7,"cheat",4200,['diff']
釀,1476,24,A04251,91C0,酿,14,"ferment",2633,['diff']
脂,1475,10,A03320,8102,脂,10,"fat",5492,[]
凳,1473,14,A00322,51F3,凳,14,"stool",2921,[]
槓,1468,14,A01994,69D3,杠,7,"thick rod",1732,"['diff', 'many-to-one']"
捏,1464,12,A01578,634F,捏,10,"squeeze",3824,[]
拐,1463,8,A01540,62D0,拐,8,"abduct",5282,['many-to-one']
醋,1461,15,A04242,918B,醋,15,"vinegar",1712,[]
伶,1445,7,A00127,4F36,伶,7,"nimble",2148,[]
膝,1438,15,A03362,819D,膝,15,"knee",4809,[]
曠,1426,19,A01827,66E0,旷,7,"spacious",2731,['diff']
剖,1418,10,A00359,5256,剖,10,"cut open",3767,[]
逮,1407,12,A04152,902E,逮,11,"seize",5418,[]
傍,1404,12,A00218,508D,傍,12,"next to",3444,[]
襪,1401,20,A03759,896A,袜,10,"sock",1790,['diff']
扳,1394,7,A01515,6273,扳,7,"pull (trigger)",1540,[]
刁,1380,2,A00329,5201,刁,2,"artful",871,[]
蔔,1371,15,A03557,8514,卜,2,"radish",7301,"['diff', 'many-to-one']"
疤,1355,9,A02664,75A4,疤,9,"scar",1765,[]
蜘,1355,14,A03654,8718,蜘,14,"spider",1804,[]
堤,1344,12,A00789,5824,堤,12,"dike",3840,[]
繡,1340,18,A03180,7E61,绣,10,"embroider",4046,['diff']
刃,1331,3,A00330,5203,刃,3,"blade",2858,[]
沫,1325,8,A02167,6CAB,沫,8,"foam",3731,[]
葵,1323,13,A03522,8475,葵,12,"sunflower",941,[]
匣,1322,7,A00421,5323,匣,7,"small box",1747,[]
隸,1318,17,A04448,96B8,隶,8,"subordinate",9100,['diff']
轎,1314,19,A04098,8F4E,轿,10,"sedan",3942,['diff']
嘔,1313,14,A00666,5614,呕,7,"expel; vomit",2292,['diff']
蔽,1312,15,A03548,853D,蔽,14,"conceal",6016,[]
襯,1303,21,A03761,896F,衬,8,"to line (e.g. clothing)",3700,['diff']
膏,1301,14,A03356,818F,膏,14,"paste (substance)",2958,[]
蘆,1299,20,A03595,8606,芦,7,"reed",3806,['diff']
皺,1292,15,A02735,76BA,皱,10,"wrinkle",7609,['diff']
鈔,1278,12,A04270,9214,钞,9,"money",3049,['diff']
蝕,1263,14,A03655,8755,蚀,9,"eclipse",3131,['diff']
瞪,1258,17,A02802,77AA,瞪,17,"stare at",6644,[]
舅,1256,13,A03397,8205,舅,13,"mother's brother",4385,[]
丐,1256,4,A00009,4E10,丐,4,"beg",3201,[]
鹹,1253,20,A04749,9E79,咸,9,"salty",3627,"['diff', 'many-to-one']"
丑,1246,4,A00008,4E11,丑,4,"clown",8067,['many-to-one']
溉,1240,12,A02275,6E89,溉,12,"irrigate",1000,[]
戳,1237,18,A01486,6233,戳,18,"stamp (a seal)",2051,[]
哄,1225,9,A00576,54C4,哄,9,"make noise",3660,['many-to-one']
肺,1223,8,A03298,80BA,肺,8,"lung",6692,[]
姨,1213,9,A00918,59E8,姨,9,"aunt (mother's sister)",4928,[]
壟,1212,19,A00827,58DF,垄,8,"ridge",4642,['diff']
盯,1210,7,A02757,76EF,盯,7,"stare",8041,[]
巾,1208,3,A01160,5DFE,巾,3,"towel",4967,[]
紗,1196,10,A03089,7D17,纱,7,"silk",4069,['diff']
菸,1196,12,A03497,83F8,烟,10,"smoke",33137,"['diff', 'many-to-one']"
凹,1195,5,A00324,51F9,凹,5,"concave",2273,[]
怠,1194,9,A01331,6020,怠,9,"idle",1847,[]
阱,1177,7,A04405,9631,阱,6,"pit",1433,[]
擱,1172,17,A01696,64F1,搁,12,"to place",4359,['diff']
腎,1172,12,A03340,814E,肾,8,"kidney",4437,['diff']
搏,1171,13,A01642,640F,搏,13,"wrestle",4392,[]
穆,1169,16,A02946,7A46,穆,16,"solemn",10592,[]
飢,1161,10,A04582,98E2,饥,5,"hunger",5689,"['diff', 'many-to-one']"
閥,1153,14,A04385,95A5,阀,9,"warlord",2970,['diff']
勻,1148,4,A00405,52FB,匀,4,"equal",2890,['diff']
隙,1142,14,A04440,9699,隙,12,"space in between",4130,[]
跪,1139,13,A04018,8DEA,跪,13,"kneel",5955,[]
孽,1137,20,A01003,5B7D,孽,19,"bastard; ill-omen",2063,[]
乞,1137,3,A00041,4E5E,乞,3,"beg",4073,[]
徽,1136,17,A01304,5FBD,徽,17,"emblem, logo; Anhui",5000,[]
螃,1130,16,A03666,8783,螃,16,"crab",614,[]
俯,1123,10,A00172,4FEF,俯,10,"bend",5100,[]
敞,1122,12,A01731,655E,敞,12,"open",3248,[]
渣,1121,12,A02257,6E23,渣,12,"crumbs",1495,[]
詛,1118,12,A03809,8A5B,诅,7,"curse, swear",1535,['diff']
疆,1107,19,A02655,7586,疆,19,"frontier",6779,[]
饅,1106,19,A04610,9945,馒,14,"mantou",881,['diff']
餃,1101,14,A04593,9903,饺,9,"dumpling",856,['diff']
屯,1101,4,A01099,5C6F,屯,4,"village",2268,[]
沸,1101,8,A02170,6CB8,沸,8,"boil",2860,[]
夭,1099,4,A00852,592D,夭,4,"untimely death",1709,[]
